doi,dataset_url,dataset_domain,dataset_type,dataset_source_category
10.1016/j.trc.2021.103010,https://github.com/vita-epfl/RRB,github.com,code_host,code_host
10.1016/j.trip.2020.100210,https://github.com/google-research/google-research/tree/master/simulation_research,github.com,code_host,code_host
10.1016/j.trb.2023.102873,https://github.com/UTEL-UIUC/TrafficStability,github.com,code_host,code_host
10.1016/j.trc.2023.104190,https://github.com/tongnie/tensor4kriging,github.com,code_host,code_host
10.1016/j.trc.2020.102624,https://github.com/sudatta0993/Dynamic-Congestion-Prediction,github.com,code_host,code_host
10.1016/j.trc.2021.103143,https://github.com/The-Ahmad/explainable_anns_for_travel_demand_analysis,github.com,code_host,code_host
10.1016/j.tre.2024.103757,https://github.com/lgraff/nomad,github.com,code_host,code_host
10.1016/j.trc.2020.102809,https://github.com/HillelBarGera/TrafficAssignmentData,github.com,code_host,code_host
10.1016/j.trf.2021.09.019,https://osf.io/sxf4u,osf.io,open_repo,open_repo_doi
10.1016/j.tra.2021.11.023,https://doi.org/10.5281/zenodo.5107737,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2024.03.014,https://osf.io/r7whj,osf.io,open_repo,open_repo_doi
10.1016/j.trd.2020.102685,https://doi.org/http:/doi.org/10.5281/zenodo.3731284,doi.org,open_repo,open_repo_doi
10.1016/j.tra.2024.104011,https://github.com/LauraFrankRWTH/CMaaS_Frank_et_al,github.com,code_host,code_host
10.1016/j.tre.2022.102766,https://github.com/jpsaldanha/inventoRy,github.com,code_host,code_host
10.1016/j.tre.2022.102766,https://jpsaldanha.shinyapps.io/inventoRy,jpsaldanha.shinyapps.io,other,other_web
10.1016/j.trc.2023.104387,https://figshare.com/articles/dataset/EPOS-based_Plans_for_Drones/21432804,figshare.com,open_repo,open_repo_doi
10.1016/j.trc.2023.104041,https://github.com/yucelzeynep/A-pure-number-to-assess-congestion-in-pedestrian-crowds,github.com,code_host,code_host
10.1016/j.trf.2024.10.001,https://su.figshare.com,su.figshare.com,other,other_web
10.1016/j.tre.2021.102540,https://github.com/hkujy/CapacitedMNDP,github.com,code_host,code_host
10.1016/j.trc.2023.104391,https://github.com/aberke/drones-consumer-privacy,github.com,code_host,code_host
10.1016/j.trc.2020.102649,https://github.com/Kaimaoge/SUMO-DVSL,github.com,code_host,code_host
10.1016/j.trc.2023.104329,https://github.com/lpaparusso/DriVe-forecast,github.com,code_host,code_host
10.1016/j.trip.2023.100919,https://osf.io/b8z6d,osf.io,open_repo,open_repo_doi
10.1016/j.trip.2020.100103,https://10.17605/OSF.IO/JQ37Y,None,other,other_web
10.1016/j.trd.2024.104431,https://github.com/ibatur/atus_heat_paper,github.com,code_host,code_host
10.1016/j.trb.2019.09.009,https://github.com/YaoYuBJTU/ADMM_Python,github.com,code_host,code_host
10.1016/j.tre.2020.101955,https://github.com/osier-hust/SVRP-SPM,github.com,code_host,code_host
10.1016/j.trd.2023.103695,https://doi.org/10.17632/xt69cnwh56.1,doi.org,open_repo,open_repo_doi
10.1016/j.trb.2023.102869,https://github.com/sunnyqywang/demand_image/tree/DHM-AE,github.com,code_host,code_host
10.1016/j.trd.2021.103091,https://github.com/paezha/Accessibility-Sobi-Hamilton,github.com,code_host,code_host
10.1016/j.trc.2019.10.016,https://github.com/ZiyuanGu/network-bi-partitioning,github.com,code_host,code_host
10.1016/j.trc.2023.104173,https://doi.org/10.5281/zenodo.5984628,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2024.104520,https://i24motion.org,i24motion.org,other,ngo_nonprofit_org
10.1016/j.trc.2024.104873,https://github.com/Xuan-1998/LPSim,github.com,code_host,code_host
10.1016/j.trf.2023.07.015,https://osf.io/92rgp,osf.io,open_repo,open_repo_doi
10.1016/j.trd.2022.103576,https://zenodo.org/record/7019144,zenodo.org,open_repo,open_repo_doi
10.1016/j.trc.2020.01.004,https://clusters.recherche.enac.fr,clusters.recherche.enac.fr,other,other_web
10.1016/j.trc.2019.03.003,https://github.com/sysuits/BATF,github.com,code_host,code_host
10.1016/j.trc.2018.11.009,https://github.com/junzis/wrap,github.com,code_host,code_host
